row_no,project_code,activity_field,organisation_name,city,grant_amount_eur,list_type
102,2026-1-TR01-KA121-VET-000442103,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Gaziantep İl Milli Eğitim Müdürlüğü,Gaziantep,310980.0,Kabul Listesi
103,2026-1-TR01-KA121-VET-000442124,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Mersin İl Milli Eğitim Müdürlüğü,Mersin,176857.0,Kabul Listesi
104,2026-1-TR01-KA121-VET-000442138,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Kırklareli İl Milli Eğitim Müdürlüğü,Kırklareli,344645.0,Kabul Listesi
105,2026-1-TR01-KA121-VET-000442446,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Rize İl Milli Eğitim Müdürlüğü,Rize,79960.0,Kabul Listesi
106,2026-1-TR01-KA121-VET-000442465,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Balıkesir İl Milli Eğitim Müdürlüğü,Balıkesir,411442.0,Kabul Listesi
107,2026-1-TR01-KA121-VET-000442511,Mesleki Eğitim Alanında Erasmus Akreditasyonu,İMES Organize Sanayi Bölgesi Mükemmeliyet Merkezi İleri Mühendislik A.Ş.,Kocaeli,258435.0,Kabul Listesi
108,2026-1-TR01-KA121-VET-000442540,Mesleki Eğitim Alanında Erasmus Akreditasyonu,T.C. Milli Eğitim Bakanlığı Mesleki ve Teknik Eğitim Genel Müdürlüğü,Ankara,151500.0,Kabul Listesi
109,2026-1-TR01-KA121-VET-000442805,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Karaman Merkez Temizel-Ünlü Mesleki ve Teknik Anadolu Lisesi,Karaman,260482.0,Kabul Listesi
110,2026-1-TR01-KA121-VET-000442835,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Zonguldak İl Milli Eğitim Müdürlüğü,Zonguldak,170077.0,Kabul Listesi
111,2026-1-TR01-KA121-VET-000442843,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Sinop İl Milli Eğitim Müdürlüğü,Sinop,73888.0,Kabul Listesi
112,2026-1-TR01-KA121-VET-000442922,Mesleki Eğitim Alanında Erasmus Akreditasyonu,TUSAŞ-Türk Havacılık ve Uzay Sanayii A.Ş.,Ankara,295760.0,Kabul Listesi
113,2026-1-TR01-KA121-VET-000443292,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Trabzon İl Milli Eğitim Müdürlüğü,Trabzon,302285.0,Kabul Listesi
114,2026-1-TR01-KA121-VET-000443452,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Ağrı İl Milli Eğitim Müdürlüğü,Ağrı,220708.0,Kabul Listesi
